n_ocupacao,media_MSE,var_MSE,DP_MSE
0,0.0,0.0,0.0
10,115.67322700307703,168.95290491140383,12.998188524229207
20,209.7956109879322,530.3275883377205,23.028842531436975
30,301.1923411802271,1027.6678978299108,32.05725967436878
40,391.0339923757609,1676.2817317528177,40.942419710525385
50,479.3992292893632,2509.783380107613,50.097738273375306
60,565.9549577691083,3354.357291939556,57.91681355133029
70,651.3529830672938,4491.229507488417,67.01663605022574
80,733.4608663123918,5634.29348964944,75.06193102798142
90,811.6593920827593,6838.861613827547,82.69740995839922
100,886.5474233981407,8142.325752474226,90.23483669001804
