n_ocupacao,media_EME,var_EME,DP_EME
0,0.0,0.0,0.0
10,3.149318480063543e-08,1.2947304816700387e-05,0.0035982363480878223
20,-1.9534390868584688e-07,2.122045750658382e-05,0.0046065667808666165
30,4.8650077022507337e-08,3.306737704442823e-05,0.005750424075181606
40,-2.9669908313894094e-07,4.0693822818420256e-05,0.006379171013417046
50,-4.12713274202715e-08,6.228263776623956e-05,0.007891934982388004
60,-1.5689518187126415e-07,7.169392290905291e-05,0.00846722640001157
70,-1.9792016631973275e-08,7.362118492889708e-05,0.008580278837479414
80,-5.939784944492741e-08,8.214261364824521e-05,0.009063256238695076
90,5.540140987589517e-08,0.00010326363164939944,0.010161871463928258
100,-1.9871745242966722e-07,0.00011237740318024894,0.010600820872944177
