n_ocupacao,media_MAE,var_MAE,DP_MAE
0,0.0,0.0,0.0
10,0.1597100136664012,0.0002646142669507767,0.016266968585165974
20,0.30731237517674675,0.0009594900563009852,0.030975636495494088
30,0.44920739661035886,0.0020317133472312126,0.04507453102619275
40,0.586759791301159,0.003440793533675599,0.05865827762281807
50,0.7197710452143298,0.005162581515519294,0.07185110657129293
60,0.8485691130673344,0.00716054819847882,0.08462002244432945
70,0.9741358853945593,0.009440931609886512,0.09716445651516048
80,1.0956196849014088,0.011935670088254425,0.10925049239364748
90,1.2133930090495468,0.014607321249008943,0.12086075148289019
100,1.3268565839677153,0.01745361511641226,0.13211213084502219
