n_ocupacao,media_MSE,var_MSE,DP_MSE
0,0.0,0.0,0.0
10,0.2419348451974829,0.0006294721748320679,0.025089284063760528
20,0.4843312267505861,0.002421731166679716,0.049211087842880655
30,0.7261711643203784,0.005383548865942785,0.07337267111086242
40,0.9665396420678504,0.00940291648762671,0.0969686366183763
50,1.2075660862991304,0.01460576384968041,0.12085430836209526
60,1.4477534177318785,0.02093466012973392,0.14468814785508147
70,1.6867834581056587,0.028415124584303158,0.16856786343874433
80,1.923820072903016,0.036938854183259706,0.19219483391407716
90,2.1597838354480094,0.04638789832162942,0.215378500137849
100,2.392794161569355,0.05688035369342395,0.238496024481382
