n_ocupacao,media_SNR,var_SNR,DP_SNR
0,nan,nan,nan
10,0.08174281966581498,0.00020417931163859,0.014289132641227388
20,0.08529426070716763,0.00012019890628676692,0.010963526179417229
30,0.09290598187104532,0.0009159848101909235,0.030265240957093393
40,0.09661404580337109,6.924340829342777e-05,0.008321262421858102
50,0.10323222053236449,0.0003190286545024188,0.01786137325354405
60,0.10869846915613313,0.00027266379108382456,0.01651253436283554
70,0.11569512984702704,0.00010236265287699058,0.010117443000926202
80,0.12561956122017753,0.000120890759345984,0.010995033394491533
90,0.13345418510593865,0.0003404182146883176,0.018450425867397143
100,0.1484440454867936,0.0004963521608956003,0.022278962293957955
