n_ocupacao,media_MSE,var_MSE,DP_MSE
0,809.5790212412545,6531.03864240743,80.81484172110609
10,808.2114925189177,6502.782679324945,80.6398330809591
20,809.2812391953989,6515.775123194684,80.72035135698236
30,808.2387645975385,6511.80359606268,80.69574707543565
40,809.1920668385078,6523.467219838856,80.76798387875517
50,808.3437455540294,6511.934785532937,80.69655993617657
60,808.2829674653175,6513.818177226758,80.70822868349148
70,808.3520540937535,6506.47800210186,80.66274234181391
80,808.4519388096794,6505.2831545428,80.65533556152872
90,808.172251688598,6507.431193552552,80.66865062434448
100,808.5095230258286,6515.186391844501,80.71670454029018
